"negative" "positive"
"2229" 0.827 0.173
"2230" 0.827 0.173
"2231" 0.867 0.133
"2232" 0.847 0.153
"2233" 0.812 0.188
"2234" 0.79 0.21
"2235" 0.792 0.208
"2236" 0.785 0.215
"2237" 0.709 0.291
"2238" 0.639 0.361
"2239" 0.643 0.357
"2240" 0.585 0.415
"2241" 0.616 0.384
"2242" 0.627 0.373
"2243" 0.59 0.41
"2244" 0.46 0.54
"2245" 0.38 0.62
"2246" 0.301 0.699
"2247" 0.318 0.682
"2248" 0.345 0.655
"2249" 0.352 0.648
"2250" 0.325 0.675
"2251" 0.344 0.656
"2252" 0.384 0.616
"2253" 0.443 0.557
"2254" 0.591 0.409
"2255" 0.689 0.311
"2256" 0.778 0.222
"2257" 0.695 0.305
"2258" 0.364 0.636
"2259" 0.331 0.669
"2260" 0.304 0.696
"2261" 0.337 0.663
"2262" 0.363 0.637
"2263" 0.387 0.613
"2264" 0.386 0.614
"2265" 0.431 0.569
"2266" 0.54 0.46
"2267" 0.647 0.353
"2268" 0.764 0.236
"2269" 0.812 0.188
"2270" 0.818 0.182
"2271" 0.841 0.159
"2272" 0.799 0.201
"2273" 0.801 0.199
"2274" 0.813 0.187
"2275" 0.787 0.213
"2276" 0.748 0.252
"2277" 0.742 0.258
"2278" 0.698 0.302
"2279" 0.663 0.337
"2280" 0.696 0.304
"2281" 0.688 0.312
"2282" 0.723 0.277
"2283" 0.745 0.255
"2284" 0.733 0.267
"2285" 0.712 0.288
"2286" 0.572 0.428
"2287" 0.516 0.484
"2288" 0.409 0.591
"2289" 0.342 0.658
"2290" 0.335 0.665
"2291" 0.309 0.691
"2292" 0.302 0.698
"2293" 0.348 0.652
"2294" 0.404 0.596
"2295" 0.562 0.438
"2296" 0.644 0.356
"2297" 0.743 0.257
"2298" 0.805 0.195
"2299" 0.817 0.183
"2300" 0.769 0.231
"2301" 0.692 0.308
"2302" 0.444 0.556
"2303" 0.347 0.653
"2304" 0.253 0.747
"2305" 0.268 0.732
"2306" 0.239 0.761
"2307" 0.267 0.733
"2308" 0.314 0.686
"2309" 0.432 0.568
"2310" 0.526 0.474
"2311" 0.627 0.373
"2312" 0.7 0.3
"2313" 0.803 0.197
"2314" 0.853 0.147
"2315" 0.868 0.132
"2316" 0.854 0.146
"2317" 0.854 0.146
"2318" 0.839 0.161
"2319" 0.855 0.145
"2320" 0.876 0.124
"2321" 0.922 0.078
"2322" 0.921 0.079
"2323" 0.934 0.066
"2324" 0.944 0.056
"2325" 0.926 0.074
"2326" 0.937 0.063
"2327" 0.884 0.116
"2328" 0.858 0.142
"2329" 0.789 0.211
"2330" 0.733 0.267
"2331" 0.635 0.365
"2332" 0.595 0.405
"2333" 0.575 0.425
"2334" 0.594 0.406
"2335" 0.603 0.397
"2336" 0.645 0.355
"2337" 0.666 0.334
"2338" 0.614 0.386
"2339" 0.562 0.438
"2340" 0.489 0.511
"2341" 0.371 0.629
"2342" 0.243 0.757
"2343" 0.237 0.763
"2344" 0.165 0.835
"2345" 0.195 0.805
"2346" 0.178 0.822
"2347" 0.23 0.77
"2348" 0.284 0.716
"2349" 0.36 0.64
"2350" 0.516 0.484
"2351" 0.553 0.447
"2352" 0.931 0.069
"2353" 0.931 0.069
"2354" 0.882 0.118
"2355" 0.858 0.142
"2356" 0.849 0.151
"2357" 0.858 0.142
"2358" 0.881 0.119
"2359" 0.887 0.113
"2360" 0.867 0.133
"2361" 0.86 0.14
"2362" 0.843 0.157
"2363" 0.844 0.156
"2364" 0.821 0.179
"2365" 0.823 0.177
"2366" 0.833 0.167
"2367" 0.775 0.225
"2368" 0.776 0.224
"2369" 0.787 0.213
"2370" 0.796 0.204
"2371" 0.822 0.178
"2372" 0.823 0.177
"2373" 0.831 0.169
"2374" 0.842 0.158
"2375" 0.865 0.135
"2376" 0.898 0.102
"2377" 0.918 0.082
"2378" 0.909 0.091
"2379" 0.92 0.08
"2380" 0.902 0.098
"2381" 0.911 0.089
"2382" 0.915 0.085
"2383" 0.878 0.122
"2384" 0.872 0.128
"2385" 0.892 0.108
"2386" 0.869 0.131
"2387" 0.879 0.121
"2388" 0.907 0.093
"2389" 0.934 0.066
"2390" 0.924 0.076
"2391" 0.927 0.073
"2392" 0.938 0.062
"2393" 0.935 0.065
"2394" 0.939 0.061
"2395" 0.956 0.044
"2396" 0.964 0.036
"2397" 0.962 0.038
"2398" 0.965 0.035
"2399" 0.967 0.033
"2400" 0.969 0.031
"2401" 0.97 0.03
"2402" 0.971 0.029
"2403" 0.952 0.048
"2404" 0.935 0.065
"2405" 0.925 0.075
"2406" 0.876 0.124
"2407" 0.854 0.146
"2408" 0.833 0.167
"2409" 0.828 0.172
"2410" 0.845 0.155
"2411" 0.855 0.145
"2412" 0.863 0.137
"2413" 0.86 0.14
"2414" 0.846 0.154
"2415" 0.843 0.157
"2416" 0.803 0.197
"2417" 0.795 0.205
"2418" 0.791 0.209
"2419" 0.73 0.27
"2420" 0.691 0.309
"2421" 0.642 0.358
"2422" 0.643 0.357
"2423" 0.71 0.29
"2424" 0.75 0.25
"2425" 0.781 0.219
"2426" 0.781 0.219
"2427" 0.765 0.235
"2428" 0.781 0.219
"2429" 0.799 0.201
"2430" 0.827 0.173
"2431" 0.859 0.141
"2432" 0.802 0.198
"2433" 0.726 0.274
"2434" 0.709 0.291
"2435" 0.676 0.324
"2436" 0.678 0.322
"2437" 0.713 0.287
"2438" 0.772 0.228
"2439" 0.785 0.215
"2440" 0.832 0.168
"2441" 0.792 0.208
"2442" 0.791 0.209
"2443" 0.821 0.179
"2444" 0.839 0.161
"2445" 0.847 0.153
"2446" 0.801 0.199
"2447" 0.754 0.246
"2448" 0.73 0.27
"2449" 0.692 0.308
"2450" 0.711 0.289
"2451" 0.743 0.257
"2452" 0.753 0.247
"2453" 0.754 0.246
"2454" 0.799 0.201
"2455" 0.773 0.227
"2456" 0.79 0.21
"2457" 0.799 0.201
"2458" 0.839 0.161
"2459" 0.847 0.153
"2460" 0.826 0.174
"2461" 0.794 0.206
"2462" 0.742 0.258
"2463" 0.695 0.305
"2464" 0.706 0.294
"2465" 0.749 0.251
"2466" 0.8 0.2
"2467" 0.809 0.191
"2468" 0.866 0.134
"2469" 0.871 0.129
"2470" 0.901 0.099
"2471" 0.91 0.09
"2472" 0.932 0.068
"2473" 0.945 0.055
"2474" 0.946 0.054
"2475" 0.958 0.042
"2476" 0.98 0.02
"2477" 0.968 0.032
"2478" 0.986 0.014
"2479" 0.982 0.018
"2480" 0.985 0.015
"2481" 0.987 0.013
"2482" 0.977 0.023
"2483" 0.981 0.019
"2484" 0.973 0.027
"2485" 0.965 0.035
"2486" 0.952 0.048
"2487" 0.894 0.106
"2488" 0.878 0.122
"2489" 0.837 0.163
"2490" 0.823 0.177
"2491" 0.834 0.166
"2492" 0.85 0.15
"2493" 0.886 0.114
"2494" 0.926 0.074
"2495" 0.923 0.077
"2496" 0.956 0.044
"2497" 0.937 0.063
"2498" 0.953 0.047
"2499" 0.97 0.03
"2500" 0.967 0.033
"2501" 0.966 0.034
"2502" 0.96 0.04
"2503" 0.952 0.048
"2504" 0.929 0.071
"2505" 0.928 0.072
"2506" 0.935 0.065
"2507" 0.96 0.04
"2508" 0.959 0.041
"2509" 0.972 0.028
"2510" 0.972 0.028
"2511" 0.974 0.026
"2512" 0.969 0.031
"2513" 0.964 0.036
"2514" 0.965 0.035
"2515" 0.932 0.068
"2516" 0.94 0.06
"2517" 0.918 0.082
"2518" 0.908 0.092
"2519" 0.896 0.104
"2520" 0.883 0.117
"2521" 0.885 0.115
"2522" 0.868 0.132
"2523" 0.891 0.109
"2524" 0.926 0.074
"2525" 0.919 0.081
"2526" 0.941 0.059
"2527" 0.972 0.028
"2528" 0.971 0.029
"2529" 0.972 0.028
"2530" 0.975 0.025
"2531" 0.964 0.036
"2532" 0.955 0.045
"2533" 0.952 0.048
"2534" 0.926 0.074
"2535" 0.925 0.075
"2536" 0.927 0.073
"2537" 0.955 0.045
"2538" 0.958 0.042
"2539" 0.975 0.025
"2540" 0.974 0.026
"2541" 0.981 0.019
"2542" 0.98 0.02
"2543" 0.97 0.03
"2544" 0.979 0.021
"2545" 0.985 0.015
"2546" 0.992 0.008
"2547" 0.978 0.022
"2548" 0.991 0.009
"2549" 0.986 0.014
"2550" 0.976 0.024
"2551" 0.978 0.022
"2552" 0.973 0.027
"2553" 0.975 0.025
"2554" 0.943 0.057
"2555" 0.947 0.053
"2556" 0.96 0.04
"2557" 0.971 0.029
"2558" 0.968 0.032
"2559" 0.965 0.035
"2560" 0.961 0.039
"2561" 0.977 0.023
"2562" 0.976 0.024
"2563" 0.987 0.013
"2564" 0.994 0.006
"2565" 0.994 0.006
"2566" 0.997 0.003
"2567" 0.994 0.006
"2568" 0.994 0.006
"2569" 0.996 0.004
"2570" 0.997 0.003
"2571" 0.998 0.002
"2572" 1 0
"2573" 0.997 0.003
"2574" 0.999 0.001
"2575" 1 0
"2576" 0.999 0.001
"2577" 0.999 0.001
"2578" 0.999 0.001
"2579" 1 0
"2580" 1 0
"2581" 0.998 0.002
"2582" 0.999 0.001
"2583" 0.999 0.001
"2584" 0.997 0.003
"2585" 0.996 0.004
"2586" 0.997 0.003
"2587" 0.998 0.002
"2588" 0.999 0.001
"2589" 1 0
"2590" 0.999 0.001
"2591" 0.999 0.001
"2592" 1 0
"2593" 0.999 0.001
"2594" 1 0
"2595" 0.997 0.003
"2596" 1 0
"2597" 0.999 0.001
"2598" 0.999 0.001
"2599" 0.999 0.001
"2600" 0.997 0.003
"2601" 0.996 0.004
"2602" 0.994 0.006
"2603" 0.997 0.003
"2604" 0.992 0.008
"2605" 0.989 0.011
"2606" 0.99 0.01
"2607" 0.993 0.007
"2608" 0.99 0.01
"2609" 0.992 0.008
"2610" 0.992 0.008
"2611" 0.996 0.004
"2612" 0.995 0.005
"2613" 0.99 0.01
"2614" 0.99 0.01
"2615" 0.988 0.012
"2616" 0.985 0.015
"2617" 0.977 0.023
"2618" 0.98 0.02
"2619" 0.976 0.024
"2620" 0.983 0.017
"2621" 0.993 0.007
"2622" 0.993 0.007
"2623" 0.993 0.007
"2624" 0.998 0.002
"2625" 0.994 0.006
"2626" 0.993 0.007
"2627" 0.993 0.007
"2628" 0.994 0.006
"2629" 0.996 0.004
"2630" 0.996 0.004
"2631" 0.998 0.002
"2632" 0.997 0.003
"2633" 0.996 0.004
"2634" 0.994 0.006
"2635" 0.993 0.007
"2636" 0.992 0.008
"2637" 0.984 0.016
"2638" 0.972 0.028
"2639" 0.978 0.022
"2640" 0.981 0.019
"2641" 0.986 0.014
"2642" 0.994 0.006
"2643" 0.997 0.003
"2644" 0.999 0.001
"2645" 0.994 0.006
"2646" 0.997 0.003
"2647" 0.995 0.005
"2648" 0.999 0.001
"2649" 0.996 0.004
"2650" 1 0
"2651" 0.998 0.002
"2652" 0.998 0.002
"2653" 0.994 0.006
"2654" 0.995 0.005
"2655" 1 0
"2656" 0.994 0.006
"2657" 0.995 0.005
"2658" 0.997 0.003
"2659" 0.998 0.002
"2660" 0.994 0.006
"2661" 0.995 0.005
"2662" 0.989 0.011
"2663" 0.994 0.006
"2664" 0.995 0.005
"2665" 0.992 0.008
"2666" 0.984 0.016
"2667" 0.978 0.022
"2668" 0.983 0.017
"2669" 0.983 0.017
"2670" 0.982 0.018
"2671" 0.962 0.038
"2672" 0.966 0.034
"2673" 0.97 0.03
"2674" 0.97 0.03
"2675" 0.959 0.041
"2676" 0.952 0.048
"2677" 0.951 0.049
"2678" 0.936 0.064
"2679" 0.917 0.083
"2680" 0.91 0.09
"2681" 0.886 0.114
"2682" 0.9 0.1
"2683" 0.89 0.11
"2684" 0.882 0.118
"2685" 0.835 0.165
"2686" 0.808 0.192
"2687" 0.805 0.195
"2688" 0.782 0.218
"2689" 0.807 0.193
"2690" 0.824 0.176
"2691" 0.821 0.179
"2692" 0.833 0.167
"2693" 0.804 0.196
"2694" 0.822 0.178
"2695" 0.811 0.189
"2696" 0.819 0.181
"2697" 0.826 0.174
"2698" 0.817 0.183
"2699" 0.761 0.239
"2700" 0.797 0.203
"2701" 0.784 0.216
"2702" 0.743 0.257
"2703" 0.781 0.219
"2704" 0.734 0.266
"2705" 0.727 0.273
"2706" 0.709 0.291
"2707" 0.677 0.323
"2708" 0.674 0.326
"2709" 0.7 0.3
"2710" 0.744 0.256
"2711" 0.749 0.251
"2712" 0.787 0.213
"2713" 0.817 0.183
"2714" 0.799 0.201
"2715" 0.825 0.175
"2716" 0.819 0.181
"2717" 0.851 0.149
"2718" 0.862 0.138
"2719" 0.846 0.154
"2720" 0.738 0.262
"2721" 0.667 0.333
"2722" 0.498 0.502
"2723" 0.405 0.595
"2724" 0.374 0.626
"2725" 0.347 0.653
"2726" 0.392 0.608
"2727" 0.388 0.612
"2728" 0.43 0.57
"2729" 0.447 0.553
"2730" 0.537 0.463
"2731" 0.578 0.422
"2732" 0.658 0.342
"2733" 0.692 0.308
"2734" 0.708 0.292
"2735" 0.635 0.365
"2736" 0.582 0.418
"2737" 0.478 0.522
"2738" 0.484 0.516
"2739" 0.485 0.515
"2740" 0.476 0.524
"2741" 0.474 0.526
"2742" 0.493 0.507
"2743" 0.549 0.451
"2744" 0.588 0.412
"2745" 0.699 0.301
"2746" 0.77 0.23
"2747" 0.784 0.216
"2748" 0.688 0.312
"2749" 0.43 0.57
"2750" 0.375 0.625
"2751" 0.367 0.633
"2752" 0.383 0.617
"2753" 0.393 0.607
"2754" 0.469 0.531
"2755" 0.488 0.512
"2756" 0.521 0.479
"2757" 0.586 0.414
"2758" 0.675 0.325
"2759" 0.766 0.234
"2760" 0.765 0.235
"2761" 0.776 0.224
"2762" 0.69 0.31
"2763" 0.527 0.473
"2764" 0.359 0.641
"2765" 0.303 0.697
"2766" 0.241 0.759
"2767" 0.212 0.788
"2768" 0.196 0.804
"2769" 0.164 0.836
"2770" 0.185 0.815
"2771" 0.162 0.838
"2772" 0.213 0.787
"2773" 0.428 0.572
"2774" 0.891 0.109
"2775" 0.861 0.139
"2776" 0.859 0.141
"2777" 0.844 0.156
"2778" 0.856 0.144
"2779" 0.84 0.16
"2780" 0.839 0.161
"2781" 0.85 0.15
"2782" 0.833 0.167
"2783" 0.802 0.198
"2784" 0.802 0.198
"2785" 0.815 0.185
"2786" 0.833 0.167
"2787" 0.826 0.174
"2788" 0.81 0.19
"2789" 0.781 0.219
"2790" 0.794 0.206
"2791" 0.796 0.204
"2792" 0.784 0.216
"2793" 0.787 0.213
"2794" 0.775 0.225
"2795" 0.755 0.245
"2796" 0.754 0.246
"2797" 0.737 0.263
"2798" 0.678 0.322
"2799" 0.68 0.32
"2800" 0.655 0.345
"2801" 0.64 0.36
"2802" 0.641 0.359
"2803" 0.619 0.381
"2804" 0.606 0.394
"2805" 0.616 0.384
"2806" 0.605 0.395
"2807" 0.594 0.406
"2808" 0.631 0.369
"2809" 0.749 0.251
"2810" 0.823 0.177
"2811" 0.834 0.166
"2812" 0.816 0.184
"2813" 0.719 0.281
"2814" 0.566 0.434
"2815" 0.37 0.63
"2816" 0.31 0.69
"2817" 0.304 0.696
"2818" 0.288 0.712
"2819" 0.274 0.726
"2820" 0.368 0.632
"2821" 0.435 0.565
"2822" 0.497 0.503
"2823" 0.558 0.442
"2824" 0.632 0.368
"2825" 0.638 0.362
"2826" 0.665 0.335
"2827" 0.701 0.299
"2828" 0.757 0.243
"2829" 0.781 0.219
"2830" 0.85 0.15
"2831" 0.897 0.103
"2832" 0.888 0.112
"2833" 0.887 0.113
"2834" 0.903 0.097
"2835" 0.879 0.121
"2836" 0.89 0.11
"2837" 0.879 0.121
"2838" 0.853 0.147
"2839" 0.873 0.127
"2840" 0.829 0.171
"2841" 0.753 0.247
"2842" 0.649 0.351
"2843" 0.57 0.43
"2844" 0.496 0.504
"2845" 0.469 0.531
"2846" 0.414 0.586
"2847" 0.397 0.603
"2848" 0.385 0.615
"2849" 0.456 0.544
"2850" 0.44 0.56
"2851" 0.522 0.478
"2852" 0.599 0.401
"2853" 0.686 0.314
"2854" 0.721 0.279
"2855" 0.736 0.264
"2856" 0.686 0.314
"2857" 0.519 0.481
"2858" 0.456 0.544
"2859" 0.397 0.603
"2860" 0.399 0.601
"2861" 0.368 0.632
"2862" 0.383 0.617
"2863" 0.365 0.635
"2864" 0.37 0.63
"2865" 0.405 0.595
"2866" 0.435 0.565
"2867" 0.456 0.544
"2868" 0.475 0.525
"2869" 0.518 0.482
"2870" 0.498 0.502
"2871" 0.524 0.476
"2872" 0.565 0.435
"2873" 0.6 0.4
"2874" 0.701 0.299
"2875" 0.793 0.207
"2876" 0.83 0.17
"2877" 0.875 0.125
"2878" 0.886 0.114
"2879" 0.899 0.101
"2880" 0.901 0.099
"2881" 0.917 0.083
"2882" 0.908 0.092
"2883" 0.917 0.083
"2884" 0.904 0.096
"2885" 0.909 0.091
"2886" 0.909 0.091
"2887" 0.912 0.088
"2888" 0.888 0.112
"2889" 0.873 0.127
"2890" 0.857 0.143
"2891" 0.865 0.135
"2892" 0.828 0.172
"2893" 0.787 0.213
"2894" 0.756 0.244
"2895" 0.758 0.242
"2896" 0.741 0.259
"2897" 0.678 0.322
"2898" 0.653 0.347
"2899" 0.474 0.526
"2900" 0.398 0.602
"2901" 0.368 0.632
"2902" 0.364 0.636
"2903" 0.368 0.632
"2904" 0.372 0.628
"2905" 0.389 0.611
"2906" 0.415 0.585
"2907" 0.422 0.578
"2908" 0.492 0.508
"2909" 0.672 0.328
"2910" 0.749 0.251
"2911" 0.774 0.226
"2912" 0.717 0.283
"2913" 0.42 0.58
"2914" 0.362 0.638
"2915" 0.323 0.677
"2916" 0.344 0.656
"2917" 0.339 0.661
"2918" 0.317 0.683
"2919" 0.301 0.699
"2920" 0.344 0.656
"2921" 0.403 0.597
"2922" 0.571 0.429
"2923" 0.651 0.349
"2924" 0.726 0.274
"2925" 0.76 0.24
"2926" 0.74 0.26
"2927" 0.775 0.225
"2928" 0.818 0.182
"2929" 0.864 0.136
"2930" 0.902 0.098
"2931" 0.914 0.086
"2932" 0.939 0.061
"2933" 0.968 0.032
"2934" 0.973 0.027
"2935" 0.983 0.017
"2936" 0.983 0.017
"2937" 0.979 0.021
"2938" 0.981 0.019
"2939" 0.99 0.01
"2940" 0.988 0.012
"2941" 0.994 0.006
"2942" 0.993 0.007
"2943" 0.996 0.004
"2944" 0.998 0.002
"2945" 0.993 0.007
"2946" 0.996 0.004
"2947" 0.995 0.005
"2948" 1 0
"2949" 0.998 0.002
"2950" 0.994 0.006
"2951" 0.996 0.004
"2952" 0.999 0.001
"2953" 0.995 0.005
"2954" 0.996 0.004
"2955" 0.994 0.006
"2956" 0.991 0.009
"2957" 0.993 0.007
"2958" 0.995 0.005
"2959" 0.995 0.005
"2960" 0.995 0.005
"2961" 0.99 0.01
"2962" 0.994 0.006
"2963" 0.992 0.008
"2964" 0.991 0.009
"2965" 0.994 0.006
"2966" 0.977 0.023
"2967" 0.977 0.023
"2968" 0.967 0.033
"2969" 0.976 0.024
"2970" 0.938 0.062
"2971" 0.936 0.064
"2972" 0.896 0.104
"2973" 0.885 0.115
"2974" 0.88 0.12
"2975" 0.835 0.165
"2976" 0.798 0.202
"2977" 0.768 0.232
"2978" 0.706 0.294
"2979" 0.684 0.316
"2980" 0.582 0.418
"2981" 0.449 0.551
"2982" 0.372 0.628
"2983" 0.282 0.718
"2984" 0.248 0.752
"2985" 0.211 0.789
"2986" 0.249 0.751
"2987" 0.215 0.785
"2988" 0.287 0.713
"2989" 0.291 0.709
"2990" 0.33 0.67
"2991" 0.347 0.653
"2992" 0.424 0.576
"2993" 0.566 0.434
"2994" 0.651 0.349
"2995" 0.672 0.328
"2996" 0.618 0.382
"2997" 0.434 0.566
"2998" 0.39 0.61
"2999" 0.379 0.621
"3000" 0.374 0.626
"3001" 0.348 0.652
"3002" 0.389 0.611
"3003" 0.39 0.61
"3004" 0.456 0.544
"3005" 0.528 0.472
"3006" 0.616 0.384
"3007" 0.678 0.322
"3008" 0.726 0.274
"3009" 0.747 0.253
"3010" 0.771 0.229
"3011" 0.816 0.184
"3012" 0.787 0.213
"3013" 0.785 0.215
"3014" 0.801 0.199
"3015" 0.802 0.198
"3016" 0.826 0.174
"3017" 0.848 0.152
"3018" 0.853 0.147
"3019" 0.906 0.094
"3020" 0.931 0.069
"3021" 0.961 0.039
"3022" 0.97 0.03
"3023" 0.975 0.025
"3024" 0.989 0.011
"3025" 0.973 0.027
"3026" 0.967 0.033
"3027" 0.972 0.028
"3028" 0.969 0.031
"3029" 0.977 0.023
"3030" 0.939 0.061
"3031" 0.955 0.045
"3032" 0.959 0.041
"3033" 0.931 0.069
"3034" 0.912 0.088
"3035" 0.88 0.12
"3036" 0.809 0.191
"3037" 0.734 0.266
"3038" 0.673 0.327
"3039" 0.589 0.411
"3040" 0.608 0.392
"3041" 0.625 0.375
"3042" 0.62 0.38
"3043" 0.573 0.427
"3044" 0.497 0.503
"3045" 0.323 0.677
"3046" 0.299 0.701
"3047" 0.301 0.699
"3048" 0.32 0.68
"3049" 0.323 0.677
"3050" 0.385 0.615
"3051" 0.41 0.59
"3052" 0.465 0.535
"3053" 0.581 0.419
"3054" 0.705 0.295
"3055" 0.736 0.264
"3056" 0.632 0.368
"3057" 0.375 0.625
"3058" 0.279 0.721
"3059" 0.249 0.751
"3060" 0.263 0.737
"3061" 0.278 0.722
"3062" 0.33 0.67
"3063" 0.308 0.692
"3064" 0.417 0.583
"3065" 0.504 0.496
"3066" 0.57 0.43
"3067" 0.663 0.337
"3068" 0.681 0.319
"3069" 0.712 0.288
"3070" 0.75 0.25
"3071" 0.739 0.261
"3072" 0.758 0.242
"3073" 0.743 0.257
"3074" 0.715 0.285
"3075" 0.745 0.255
"3076" 0.741 0.259
"3077" 0.805 0.195
"3078" 0.808 0.192
"3079" 0.871 0.129
"3080" 0.88 0.12
"3081" 0.903 0.097
"3082" 0.885 0.115
"3083" 0.871 0.129
"3084" 0.866 0.134
"3085" 0.877 0.123
"3086" 0.828 0.172
"3087" 0.825 0.175
"3088" 0.792 0.208
"3089" 0.778 0.222
"3090" 0.703 0.297
"3091" 0.634 0.366
"3092" 0.631 0.369
"3093" 0.569 0.431
"3094" 0.603 0.397
"3095" 0.621 0.379
"3096" 0.56 0.44
"3097" 0.458 0.542
"3098" 0.365 0.635
"3099" 0.304 0.696
"3100" 0.285 0.715
"3101" 0.295 0.705
"3102" 0.313 0.687
"3103" 0.299 0.701
"3104" 0.345 0.655
"3105" 0.363 0.637
"3106" 0.448 0.552
"3107" 0.62 0.38
"3108" 0.702 0.298
"3109" 0.737 0.263
"3110" 0.674 0.326
"3111" 0.356 0.644
"3112" 0.328 0.672
"3113" 0.308 0.692
"3114" 0.352 0.648
"3115" 0.378 0.622
"3116" 0.394 0.606
"3117" 0.377 0.623
"3118" 0.44 0.56
"3119" 0.557 0.443
"3120" 0.621 0.379
"3121" 0.724 0.276
"3122" 0.732 0.268
"3123" 0.69 0.31
"3124" 0.684 0.316
"3125" 0.629 0.371
"3126" 0.657 0.343
"3127" 0.674 0.326
"3128" 0.686 0.314
"3129" 0.696 0.304
"3130" 0.747 0.253
"3131" 0.734 0.266
"3132" 0.695 0.305
"3133" 0.588 0.412
"3134" 0.517 0.483
"3135" 0.386 0.614
"3136" 0.306 0.694
"3137" 0.295 0.705
"3138" 0.281 0.719
"3139" 0.28 0.72
"3140" 0.305 0.695
"3141" 0.315 0.685
"3142" 0.463 0.537
"3143" 0.615 0.385
"3144" 0.768 0.232
"3145" 0.756 0.244
"3146" 0.7 0.3
"3147" 0.386 0.614
"3148" 0.352 0.648
"3149" 0.255 0.745
"3150" 0.253 0.747
"3151" 0.235 0.765
"3152" 0.259 0.741
"3153" 0.278 0.722
"3154" 0.359 0.641
"3155" 0.439 0.561
"3156" 0.579 0.421
"3157" 0.686 0.314
"3158" 0.782 0.218
"3159" 0.828 0.172
"3160" 0.815 0.185
"3161" 0.797 0.203
"3162" 0.757 0.243
"3163" 0.768 0.232
"3164" 0.826 0.174
"3165" 0.838 0.162
"3166" 0.85 0.15
"3167" 0.877 0.123
"3168" 0.872 0.128
"3169" 0.853 0.147
"3170" 0.846 0.154
"3171" 0.833 0.167
"3172" 0.758 0.242
"3173" 0.704 0.296
"3174" 0.544 0.456
"3175" 0.465 0.535
"3176" 0.301 0.699
"3177" 0.268 0.732
"3178" 0.214 0.786
"3179" 0.221 0.779
"3180" 0.256 0.744
"3181" 0.265 0.735
"3182" 0.347 0.653
"3183" 0.386 0.614
"3184" 0.43 0.57
"3185" 0.435 0.565
"3186" 0.497 0.503
"3187" 0.545 0.455
"3188" 0.915 0.085
"3189" 0.906 0.094
"3190" 0.898 0.102
"3191" 0.895 0.105
"3192" 0.896 0.104
"3193" 0.868 0.132
"3194" 0.862 0.138
"3195" 0.857 0.143
"3196" 0.868 0.132
"3197" 0.84 0.16
"3198" 0.842 0.158
"3199" 0.796 0.204
"3200" 0.776 0.224
"3201" 0.779 0.221
"3202" 0.756 0.244
"3203" 0.739 0.261
"3204" 0.717 0.283
"3205" 0.619 0.381
"3206" 0.627 0.373
"3207" 0.655 0.345
"3208" 0.715 0.285
"3209" 0.762 0.238
"3210" 0.79 0.21
"3211" 0.766 0.234
"3212" 0.765 0.235
"3213" 0.677 0.323
"3214" 0.507 0.493
"3215" 0.472 0.528
"3216" 0.422 0.578
"3217" 0.41 0.59
"3218" 0.415 0.585
"3219" 0.393 0.607
"3220" 0.367 0.633
"3221" 0.342 0.658
"3222" 0.348 0.652
"3223" 0.312 0.688
"3224" 0.36 0.64
"3225" 0.355 0.645
"3226" 0.421 0.579
"3227" 0.527 0.473
"3228" 0.585 0.415
"3229" 0.654 0.346
"3230" 0.772 0.228
"3231" 0.844 0.156
"3232" 0.872 0.128
"3233" 0.893 0.107
"3234" 0.902 0.098
"3235" 0.901 0.099
"3236" 0.908 0.092
"3237" 0.903 0.097
"3238" 0.874 0.126
"3239" 0.835 0.165
"3240" 0.829 0.171
"3241" 0.785 0.215
"3242" 0.709 0.291
"3243" 0.591 0.409
"3244" 0.603 0.397
"3245" 0.609 0.391
"3246" 0.62 0.38
"3247" 0.526 0.474
"3248" 0.495 0.505
"3249" 0.446 0.554
"3250" 0.399 0.601
"3251" 0.391 0.609
"3252" 0.393 0.607
"3253" 0.37 0.63
"3254" 0.414 0.586
"3255" 0.52 0.48
"3256" 0.632 0.368
"3257" 0.726 0.274
"3258" 0.701 0.299
"3259" 0.63 0.37
"3260" 0.384 0.616
"3261" 0.313 0.687
"3262" 0.262 0.738
"3263" 0.238 0.762
"3264" 0.255 0.745
"3265" 0.293 0.707
"3266" 0.298 0.702
"3267" 0.394 0.606
"3268" 0.488 0.512
"3269" 0.631 0.369
"3270" 0.742 0.258
"3271" 0.836 0.164
"3272" 0.875 0.125
"3273" 0.876 0.124
"3274" 0.864 0.136
"3275" 0.865 0.135
"3276" 0.85 0.15
"3277" 0.823 0.177
"3278" 0.743 0.257
"3279" 0.65 0.35
"3280" 0.646 0.354
"3281" 0.626 0.374
"3282" 0.625 0.375
"3283" 0.581 0.419
"3284" 0.576 0.424
"3285" 0.607 0.393
"3286" 0.63 0.37
"3287" 0.639 0.361
"3288" 0.694 0.306
"3289" 0.74 0.26
"3290" 0.781 0.219
"3291" 0.731 0.269
"3292" 0.662 0.338
"3293" 0.435 0.565
"3294" 0.401 0.599
"3295" 0.378 0.622
"3296" 0.363 0.637
"3297" 0.448 0.552
"3298" 0.455 0.545
"3299" 0.502 0.498
"3300" 0.568 0.432
"3301" 0.606 0.394
"3302" 0.671 0.329
"3303" 0.649 0.351
"3304" 0.659 0.341
"3305" 0.68 0.32
"3306" 0.704 0.296
"3307" 0.711 0.289
